id,lname,fname,status
1,Johnson,Ethan,ACTIVE
2,Smith,Olivia,INACTIVE
3,Williams,Liam,ACTIVE
4,Jones,Emma,ACTIVE
5,Brown,Noah,ACTIVE
6,Davis,Ava,ACTIVE
7,Miller,Isabella,INACTIVE
8,Wilson,Sophia,ACTIVE
9,Moore,Jackson,INACTIVE
10,Taylor,Aiden,INACTIVE
11,Anderson,Lucas,INACTIVE
12,Thomas,Mia,INACTIVE
13,Jackson,Oliver,INACTIVE
14,White,Amelia,INACTIVE
15,Harris,Harper,ACTIVE
16,Martin,Elijah,ACTIVE
17,Thompson,Grace,INACTIVE
18,Garcia,Aria,INACTIVE
19,Martinez,Logan,ACTIVE
20,Robinson,Benjamin,ACTIVE
21,Clark,Chloe,INACTIVE
22,Rodriguez,Wyatt,ACTIVE
23,Lewis,Addison,ACTIVE
24,Lee,Natalie,INACTIVE
25,Walker,Lily,ACTIVE
26,Hall,Samuel,INACTIVE
27,Allen,Avery,ACTIVE
28,Young,Evelyn,INACTIVE
29,Hernandez,Dylan,INACTIVE
30,King,Scarlett,ACTIVE
31,Wright,Luke,ACTIVE
32,Lopez,Zoey,INACTIVE
33,Hill,Landon,ACTIVE
34,Scott,Sofia,ACTIVE
35,Green,Caleb,INACTIVE
36,Adams,Leah,ACTIVE
37,Baker,Isaac,INACTIVE
38,Gonzales,Eleanor,INACTIVE
39,Nelson,David,INACTIVE
40,Carter,Penelope,INACTIVE
41,Ramirez,Victoria,ACTIVE
42,Turner,Caleb,ACTIVE
43,Parker,Stella,ACTIVE
44,Morris,Leo,ACTIVE
45,Rogers,Sadie,ACTIVE
46,Foster,Isaiah,INACTIVE
47,Bennett,Madison,ACTIVE
48,Coleman,Henry,ACTIVE
49,Sullivan,Ava,INACTIVE
50,Murphy,Mason,INACTIVE
